open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-08-02 20:00:00,2.7785,2.8004,2.7749,2.7965,33452036.1,2025-08-02 20:59:59.999,93204572.42529,139845,16656378.1,46406141.26769,0
2025-08-02 21:00:00,2.7965,2.8161,2.7775,2.7982,30768198.8,2025-08-02 21:59:59.999,86056568.83639,147220,14905118.4,41695011.3965,0
2025-08-02 22:00:00,2.7981,2.8163,2.7809,2.7965,26967769.3,2025-08-02 22:59:59.999,75453063.16039,107026,12511750.8,34998385.35773,0
2025-08-02 23:00:00,2.7966,2.7977,2.7381,2.7684,62637004.6,2025-08-02 23:59:59.999,173272417.71092,237083,30779718.0,85146371.95077,0
2025-08-03 00:00:00,2.7684,2.7933,2.7266,2.7841,88955951.0,2025-08-03 00:59:59.999,246045047.64966,327556,42550384.0,117673487.58755,0
2025-08-03 01:00:00,2.784,2.8046,2.773,2.7976,35018406.9,2025-08-03 01:59:59.999,97739107.32637,148090,17758915.5,49567702.29407,0
2025-08-03 02:00:00,2.7977,2.828,2.7972,2.8254,29371239.7,2025-08-03 02:59:59.999,82698861.84202,115078,16087884.7,45295215.85653,0
2025-08-03 03:00:00,2.8254,2.8397,2.8148,2.8341,26671040.6,2025-08-03 03:59:59.999,75394960.32808,94467,14167162.4,40051172.71534,0
2025-08-03 04:00:00,2.8341,2.8346,2.8127,2.8234,22323498.3,2025-08-03 04:59:59.999,63030758.17241,78520,11674736.3,32961307.66246,0
2025-08-03 05:00:00,2.8235,2.8437,2.8223,2.8329,16317594.6,2025-08-03 05:59:59.999,46247390.34969,70094,8110673.4,22991234.70168,0
2025-08-03 06:00:00,2.833,2.843,2.824,2.8376,13430620.5,2025-08-03 06:59:59.999,38068746.88522,60426,6607277.7,18726068.61321,0
2025-08-03 07:00:00,2.8376,2.868,2.8375,2.8635,32635188.1,2025-08-03 07:59:59.999,93179373.95973,98183,16826845.6,48043433.24984,0
2025-08-03 08:00:00,2.8635,2.8757,2.8474,2.8655,37640117.7,2025-08-03 08:59:59.999,107823783.57363,114431,18496790.9,52992009.94715,0
2025-08-03 09:00:00,2.8656,2.8697,2.8495,2.8641,18154110.1,2025-08-03 09:59:59.999,51870298.18762,74436,8103656.8,23154684.01564,0
